# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-s" "1" "-F" "GTF" "-T" "4" "-a" "genome/reference.gff" "-o" "data_comptage/counts.txt" "data_bam/SRR10379721.bam" "data_bam/SRR10379722.bam" "data_bam/SRR10379723.bam" "data_bam/SRR10379724.bam" "data_bam/SRR10379725.bam" "data_bam/SRR10379726.bam" 
Geneid	Chr	Start	End	Strand	Length	data_bam/SRR10379721.bam	data_bam/SRR10379722.bam	data_bam/SRR10379723.bam	data_bam/SRR10379724.bam	data_bam/SRR10379725.bam	data_bam/SRR10379726.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	20274	16816	12918	13963	19411	3941
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	15764	12018	11021	11920	14852	2074
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1563	1187	823	1316	966	120
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	13756	11299	9790	7511	6652	838
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	29311	26226	24022	12009	12058	3489
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	44453	32818	31606	18724	12298	3969
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	6826	4722	4597	3491	4979	1203
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	2698	2249	2073	1183	1843	293
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	2193	1837	1231	40144	77817	13343
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	180	160	131	2079	4572	264
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	156	134	125	1141	2740	294
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1065	1123	814	4541	8794	1869
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	4446	3337	3393	6863	8752	1160
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	25516	21614	22208	20768	25714	5807
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	6336	5502	5626	5227	6490	1042
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	11558	10261	8628	14270	19467	6288
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	6812	6149	6752	8514	5185	3211
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	86	42	38	47	7	130
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	369	361	158	229	31	200
